page_number,response_content
56,"```json
{
  ""pageNumber"": 23,
  ""content"": ""For example, HJ open, BB call, flop 9♣7♦6♥, HJ c-bets 33% pot.\n\nWould you rather hold J♠8♠ or A♠8♠? Both hands have the same amount of outs, although A♠8♠ has more equity.\n\nDespite that, J♠8♠ is a much more valuable hand as it can cooler worse straights on 976T!"",
  ""graphExplanation"": {
    ""number_of_outs"": ""8 outs"",
    ""equity"": {
      ""J♠8♠"": ""38%"",
      ""A♠8♠"": ""49%""
    },
    ""drawing_to_the_nuts"": {
      ""J♠8♠"": true,
      ""A♠8♠"": false
    },
    ""expected_value"": {
      ""J♠8♠"": ""5.38 bb"",
      ""A♠8♠"": ""2.57 bb""
    }
  }
}
```"
57,"```json
{
  ""page_number"": 24,
  ""content"": ""Blockers are a card removal effect that can range from insignificant to very significant. An important skill in poker is learning when blockers significantly factor into a decision, and when they're not as important.""
}
```"
58,"```json
{
  ""Page Number"": 24,
  ""Content"": ""WHEN DO BLOCKERS ACTUALLY MATTER?\n\nBlockers matter when:\n\nRanges are narrow, value hands/bluffs are centered around a few key cards.\n\nBlockers matter less when:\n\nRanges are wide, and value hands/bluffs are spread out among many different cards.""
}
```"
59,"```json
{
  ""Page Number"": 25,
  ""Content"": ""\""Targeting\"" is the process of making a portion of your opponent's range indifferent.\n\nWhen sizing a bet it's important to think about what hand classes you want to target with your range, and what size would make those kinds of hands indifferent between continuing or folding."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
60,"```json
{
  ""Page Number"": 25,
  ""Content"": ""SB open, BB call, A♥Q♦7♣. SB can choose between a 33% block-bet, and a 125% overbet."",
  ""Questions"": ""What hand classes do each of these sizes target?"",
  ""Graph Explanation"": ""The graph shows a matrix of poker hands with color-coding that likely represents different actions or hand strengths. The matrix displays hand combinations ranging from pairs like A♠A♠ to 2♥2♠. Actions are denoted in colors, but exact meanings (e.g., fold, call, raise) are not specified. This might indicate which hands prefer which betting sizes or strategies on the A♥Q♦7♣ board scenario.""
}
```"
61,"```json
{
  ""Page Number"": 25,
  ""Content"": ""A block-bet targets BB's air, whereas a 125% bet targets their 2nd and 3rd pair."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Bet Size"": ""125%"",
      ""Percentage"": ""18.1%"",
      ""Combos"": ""75.81"",
      ""Hand Breakdown"": {
        ""Set"": ""0.7%"",
        ""Two pair"": ""2.3%"",
        ""Top pair"": ""17.5%"",
        ""Second pair"": ""13.5%"",
        ""Third pair"": ""9.4%"",
        ""Low pair"": ""7.4%"",
        ""King high"": ""16.6%"",
        ""No made hand"": ""32.7%""
      }
    },
    ""graph2"": {
      ""Bet Size"": ""33%"",
      ""Percentage"": ""26.8%"",
      ""Combos"": ""111.99"",
      ""Hand Breakdown"": {
        ""Set"": ""0.7%"",
        ""Two pair"": ""2.3%"",
        ""Top pair"": ""17.5%"",
        ""Second pair"": ""13.5%"",
        ""Third pair"": ""9.4%"",
        ""Low pair"": ""7.4%"",
        ""King high"": ""16.6%"",
        ""No made hand"": ""32.7%""
      }
    }
  }
}
```"
62,"```json
{
  ""Page Number"": 26,
  ""Content"": ""MDF:\nTell you how wide you need to defend\n\nPot odds:\nTell you how much equity you need to call\n\nMinimum defense frequency (MDF) and pot odds may seem like vague and unrelated concepts in poker. But they are intimately related in GTO. The best way to understand these concepts is to visualize how they actually work together.""
}
```"
63,"```json
{
  ""page_number"": 26,
  ""content"": ""BB is facing a 75% pot-sized bet on the river. This graph shows BB's equity distribution, with green dots representing the continuation range.\n\nMDF tells us BB needs to continue with 57% of their range to prevent SB from profitably bluffing. Pot Odds tell us BB needs at least 30% equity to call."",
  ""graph_explanation"": {
    ""graph1"": ""The graph illustrates the visualization of Minimum Defense Frequency (MDF) and pot odds. The vertical axis represents the equity distribution, and the horizontal axis displays the range. There is an indication that BB needs 30% equity to call. The graph details that to defend 57% of the range, BB's actions are depicted through blue and green lines. The green dots signify the continuation range. The blue line steps represent BB's equity required to make calls against a 75% pot-sized bet."",
    ""additional_info"": ""MDF = Defend 57% of range.""
  }
}
```"
64,"```json
{
  ""Page Number"": 26,
  ""Content"": ""Hands with more than 30% equity should call. Hands with less than that should fold. The solver has constructed it's betting range such that BB has just enough hands to reach MDF."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""title"": ""Visualizing MDF and Pot Odds"",
      ""x-axis"": ""Defend % Range"",
      ""y-axis"": ""Need 30% + equity to call"",
      ""details"": [
        ""30% Equity line indicates the threshold for calling."",
        ""MDF = Defend 57% of range."",
        ""Graph lines depict the betting and defending ranges where BB reaches the Minimum Defense Frequency (MDF).""
      ]
    }
  }
}
```"
65,"```json
{
  ""page_number"": 27,
  ""content"": ""FINDING THE THRESHOLDS\n\nWhen thinking in ranges, it's advised to ask yourself where the thresholds are.\n\nWhat's the weakest hand you call?\n\nWhat's the weakest hand you value bet?\n\nWhat's the strongest hand that you fold?"",
  ""questions"": [
    ""What's the weakest hand you call?"",
    ""What's the weakest hand you value bet?"",
    ""What's the strongest hand that you fold?""
  ]
}
```"
66,"```json
{
  ""Page Number"": 27,
  ""Content"": ""Thresholds guide your strategy. Once you know where these lines are you have a better idea how to construct your range.\n\nNext time you're analyzing a hand, make a point to ask yourself these questions and compare your answers to the solution."",
  ""Questions"": null,
  ""Graph Explanation"": {
    ""graph1"": ""The graph presents two thresholds: Value raise threshold and Continuation threshold. The Value raise threshold is indicated on the left end, while the Continuation threshold is further along the spectrum to the right. The thresholds are depicted on a linear continuum, with different colors representing the ranges for each threshold.""
  }
}
```"
67,"```json
{
  ""Page Number"": 66,
  ""Content"": ""The term \""indifference\"" is common in game theory. To be indifferent means to be neutral about your options. In poker, indifference refers to when two or more actions have the same expected value.\n\nBut what does this look like in practice?""
}
```"
68,"```json
{
  ""pageNumber"": 28,
  ""content"": ""CO opens, BB calls. CO bets 1/3 pot on the flop and turn, then overbets 150% pot on the river. The board runs out 4♥ 4♦ 2♠ Q♥ J♥."",
  ""questions"": [
    ""Why is BB calling some ace high and folding some top pair?""
  ],
  ""graphExplanation"": {
    ""graph1"": ""The graph illustrates various hand ranges with actions, showing color-coded decisions. Green cells indicate hands that have a higher likelihood of continuing (calling), red cells indicate hands more likely to fold, and blue suggests mixed strategies (potentially raising). Suited aces (A♠x) comprise a strong category, while offsuit combination hands like Q♠J♠ may feature different strategies post-flop based on board dynamics.""
  }
}
```"
69,"```json
{
  ""Page Number"": 28,
  ""Content"": ""BB needs about 37% equity to call this overbet. CO is using a balanced range of nutted hands and air, such that most of BB's range is very close to indifferent."",
  ""Graph Explanation"": ""The graph presents an equity comparison between BB and CO. The x-axis likely represents different ranges or scenarios, while the y-axis displays the equity percentage. The graph shows two lines, one for BB and another for CO. BB's equity is approximately 37.8% as indicated, while CO's equity is roughly 46.04%. The graph highlights the pot odds to call, requiring 37.8% equity. This visually supports the textual explanation that BB needs about 37% equity to call the overbet, with CO maintaining a balanced range.""
}
```"
70,"```json
{
  ""Page Number"": 69,
  ""Content"": ""Equity realization is a term in poker that describes how much of your raw equity you will realize. But what does this actually mean?"",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
71,"```json
{
  ""Page Number"": 29,
  ""Content"": ""Equity Realization compares your 'pot share' between the equity and expected value of a hand. For example, if a hand has 50% equity, and only wins a quarter of the pot on average, then it's only realizing half of its equity. This hand is said to 'under-realize' its equity."",
  ""Graph Explanation"": ""The graph presents the formula for Equity Realization (EQR) as the ratio between EV pot share and EQ pot share. It highlights how these two components compare to define the degree to which equity is realized in a given poker hand situation.""
}
```"
72,"```json
{
  ""Page Number"": 30,
  ""Content"": ""There are two types of mistakes in GTO poker; pure mistakes and frequency mistakes. What's the difference?"",
  ""Questions"": ""What's the difference?"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Type"": ""Visual Explanation"",
      ""Elements"": [
        {
          ""Symbol"": ""!"",
          ""Description"": ""Mistake""
        },
        {
          ""Symbol"": ""i"",
          ""Description"": ""Inaccuracy""
        }
      ]
    }
  }
}
```"
73,"```json
{
  ""Page Number"": 72,
  ""Content"": ""Pure mistake: Loses value against a fixed GTO strategy\nFrequency mistake: Only punished by an exploitative opponent\nA pure mistake is an action that always loses value against a fixed Nash Equilibrium strategy.\nA frequency mistake (i.e. not mixing correctly) can only be punished if your opponent deviates from equilibrium."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
74,"```json
{
  ""pageNumber"": 73,
  ""content"": ""QUIZZES"",
  ""questions"": null,
  ""graphExplanation"": null
}
```"
75,"```json
{
  ""Page Number"": 74,
  ""Content"": ""After covering the basics, it is time to evaluate your knowledge of GTO.\n\nGoing forward, each Dose will include a quiz. The first page of each Dose will present a question. Take some time to consider the question before looking at the solution!""
}
```"
76,"```json
{
  ""pageNumber"": 75,
  ""content"": ""Hero has 11 outs to win.\nWhat are their hole cards?"",
  ""questions"": ""What are their hole cards?"",
  ""graphExplanation"": {
    ""board"": {
      ""cards"": [
        {
          ""rank"": ""K"",
          ""suit"": ""spades""
        },
        {
          ""rank"": ""Q"",
          ""suit"": ""hearts""
        },
        {
          ""rank"": ""J"",
          ""suit"": ""hearts""
        },
        {
          ""rank"": ""T"",
          ""suit"": ""clubs""
        }
      ]
    },
    ""villain"": {
      ""cards"": [
        {
          ""rank"": ""Q"",
          ""suit"": ""diamonds""
        },
        {
          ""rank"": ""Q"",
          ""suit"": ""clubs""
        }
      ]
    },
    ""hero"": {
      ""cards"": [
        {
          ""rank"": ""?"",
          ""suit"": ""unknown""
        },
        {
          ""rank"": ""?"",
          ""suit"": ""unknown""
        }
      ]
    }
  }
}
```"
77,"```json
{
  ""Page Number"": 31,
  ""Content"": ""Quiz: GUESS THE HAND\n\nCorrect answer\nK♥ T♥"",
  ""Questions"": ""GUESS THE HAND"",
  ""Graph Explanation"": """"
}
```"
